DynamicsPikeService - UnitTrackMaximo - Started
DynamicsPikeService - UnitTrackMaximo - GetNLRDatatoOracle - Started
Get NLR Work Orders - Processing - 1 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 8 out of 10
GetNLRData_Oracle_Details - Processing - 9 out of 10
GetNLRData_Oracle_Details - Processing - 10 out of 10
Get NLR Work Orders - Processing - 9 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 21
GetNLRData_Oracle_Details - Processing - 2 out of 21
GetNLRData_Oracle_Details - Processing - 3 out of 21
GetNLRData_Oracle_Details - Processing - 4 out of 21
GetNLRData_Oracle_Details - Processing - 5 out of 21
GetNLRData_Oracle_Details - Processing - 6 out of 21
GetNLRData_Oracle_Details - Processing - 7 out of 21
GetNLRData_Oracle_Details - Processing - 8 out of 21
GetNLRData_Oracle_Details - Processing - 9 out of 21
GetNLRData_Oracle_Details - Processing - 10 out of 21
GetNLRData_Oracle_Details - Processing - 11 out of 21
GetNLRData_Oracle_Details - Processing - 12 out of 21
GetNLRData_Oracle_Details - Processing - 13 out of 21
GetNLRData_Oracle_Details - Processing - 14 out of 21
GetNLRData_Oracle_Details - Processing - 15 out of 21
GetNLRData_Oracle_Details - Processing - 16 out of 21
GetNLRData_Oracle_Details - Processing - 17 out of 21
GetNLRData_Oracle_Details - Processing - 18 out of 21
GetNLRData_Oracle_Details - Processing - 19 out of 21
GetNLRData_Oracle_Details - Processing - 20 out of 21
GetNLRData_Oracle_Details - Processing - 21 out of 21
Get NLR Work Orders - Processing - 10 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 24
GetNLRData_Oracle_Details - Processing - 2 out of 24
GetNLRData_Oracle_Details - Processing - 3 out of 24
GetNLRData_Oracle_Details - Processing - 4 out of 24
GetNLRData_Oracle_Details - Processing - 5 out of 24
GetNLRData_Oracle_Details - Processing - 6 out of 24
GetNLRData_Oracle_Details - Processing - 7 out of 24
GetNLRData_Oracle_Details - Processing - 8 out of 24
GetNLRData_Oracle_Details - Processing - 9 out of 24
GetNLRData_Oracle_Details - Processing - 10 out of 24
GetNLRData_Oracle_Details - Processing - 11 out of 24
GetNLRData_Oracle_Details - Processing - 12 out of 24
GetNLRData_Oracle_Details - Processing - 13 out of 24
GetNLRData_Oracle_Details - Processing - 14 out of 24
GetNLRData_Oracle_Details - Processing - 15 out of 24
GetNLRData_Oracle_Details - Processing - 16 out of 24
GetNLRData_Oracle_Details - Processing - 17 out of 24
GetNLRData_Oracle_Details - Processing - 18 out of 24
GetNLRData_Oracle_Details - Processing - 19 out of 24
GetNLRData_Oracle_Details - Processing - 20 out of 24
GetNLRData_Oracle_Details - Processing - 21 out of 24
GetNLRData_Oracle_Details - Processing - 22 out of 24
GetNLRData_Oracle_Details - Processing - 23 out of 24
GetNLRData_Oracle_Details - Processing - 24 out of 24
Get NLR Work Orders - Processing - 11 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 15
GetNLRData_Oracle_Details - Processing - 2 out of 15
GetNLRData_Oracle_Details - Processing - 3 out of 15
GetNLRData_Oracle_Details - Processing - 4 out of 15
GetNLRData_Oracle_Details - Processing - 5 out of 15
GetNLRData_Oracle_Details - Processing - 6 out of 15
GetNLRData_Oracle_Details - Processing - 7 out of 15
GetNLRData_Oracle_Details - Processing - 8 out of 15
GetNLRData_Oracle_Details - Processing - 9 out of 15
GetNLRData_Oracle_Details - Processing - 10 out of 15
GetNLRData_Oracle_Details - Processing - 11 out of 15
GetNLRData_Oracle_Details - Processing - 12 out of 15
GetNLRData_Oracle_Details - Processing - 13 out of 15
GetNLRData_Oracle_Details - Processing - 14 out of 15
GetNLRData_Oracle_Details - Processing - 15 out of 15
Get NLR Work Orders - Processing - 12 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 20
GetNLRData_Oracle_Details - Processing - 2 out of 20
GetNLRData_Oracle_Details - Processing - 3 out of 20
GetNLRData_Oracle_Details - Processing - 4 out of 20
GetNLRData_Oracle_Details - Processing - 5 out of 20
GetNLRData_Oracle_Details - Processing - 6 out of 20
GetNLRData_Oracle_Details - Processing - 7 out of 20
GetNLRData_Oracle_Details - Processing - 8 out of 20
GetNLRData_Oracle_Details - Processing - 9 out of 20
GetNLRData_Oracle_Details - Processing - 10 out of 20
GetNLRData_Oracle_Details - Processing - 11 out of 20
GetNLRData_Oracle_Details - Processing - 12 out of 20
GetNLRData_Oracle_Details - Processing - 13 out of 20
GetNLRData_Oracle_Details - Processing - 14 out of 20
GetNLRData_Oracle_Details - Processing - 15 out of 20
GetNLRData_Oracle_Details - Processing - 16 out of 20
GetNLRData_Oracle_Details - Processing - 17 out of 20
GetNLRData_Oracle_Details - Processing - 18 out of 20
GetNLRData_Oracle_Details - Processing - 19 out of 20
GetNLRData_Oracle_Details - Processing - 20 out of 20
Get NLR Work Orders - Processing - 13 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 7
GetNLRData_Oracle_Details - Processing - 2 out of 7
GetNLRData_Oracle_Details - Processing - 3 out of 7
GetNLRData_Oracle_Details - Processing - 4 out of 7
GetNLRData_Oracle_Details - Processing - 5 out of 7
GetNLRData_Oracle_Details - Processing - 6 out of 7
GetNLRData_Oracle_Details - Processing - 7 out of 7
Get NLR Work Orders - Processing - 14 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 9
GetNLRData_Oracle_Details - Processing - 2 out of 9
GetNLRData_Oracle_Details - Processing - 3 out of 9
GetNLRData_Oracle_Details - Processing - 4 out of 9
GetNLRData_Oracle_Details - Processing - 5 out of 9
GetNLRData_Oracle_Details - Processing - 6 out of 9
GetNLRData_Oracle_Details - Processing - 7 out of 9
GetNLRData_Oracle_Details - Processing - 8 out of 9
GetNLRData_Oracle_Details - Processing - 9 out of 9
Get NLR Work Orders - Processing - 15 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 16 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 5
GetNLRData_Oracle_Details - Processing - 2 out of 5
GetNLRData_Oracle_Details - Processing - 3 out of 5
GetNLRData_Oracle_Details - Processing - 4 out of 5
GetNLRData_Oracle_Details - Processing - 5 out of 5
Get NLR Work Orders - Processing - 17 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 5
GetNLRData_Oracle_Details - Processing - 2 out of 5
GetNLRData_Oracle_Details - Processing - 3 out of 5
GetNLRData_Oracle_Details - Processing - 4 out of 5
GetNLRData_Oracle_Details - Processing - 5 out of 5
Get NLR Work Orders - Processing - 18 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 5
GetNLRData_Oracle_Details - Processing - 2 out of 5
GetNLRData_Oracle_Details - Processing - 3 out of 5
GetNLRData_Oracle_Details - Processing - 4 out of 5
GetNLRData_Oracle_Details - Processing - 5 out of 5
Get NLR Work Orders - Processing - 19 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 20 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 1
Get NLR Work Orders - Processing - 21 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 2
GetNLRData_Oracle_Details - Processing - 2 out of 2
GetDukeProjectTaskData - FailureError reading JObject from JsonReader. Current JsonReader item is not an object: StartArray. Path '', line 1, position 1.
Get NLR Work Orders - Processing - 22 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 5
GetNLRData_Oracle_Details - Processing - 2 out of 5
GetNLRData_Oracle_Details - Processing - 3 out of 5
GetNLRData_Oracle_Details - Processing - 4 out of 5
GetNLRData_Oracle_Details - Processing - 5 out of 5
Get NLR Work Orders - Processing - 23 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 24 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 5
GetNLRData_Oracle_Details - Processing - 2 out of 5
GetNLRData_Oracle_Details - Processing - 3 out of 5
GetNLRData_Oracle_Details - Processing - 4 out of 5
GetNLRData_Oracle_Details - Processing - 5 out of 5
Get NLR Work Orders - Processing - 25 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 5
GetNLRData_Oracle_Details - Processing - 2 out of 5
GetNLRData_Oracle_Details - Processing - 3 out of 5
GetNLRData_Oracle_Details - Processing - 4 out of 5
GetNLRData_Oracle_Details - Processing - 5 out of 5
Get NLR Work Orders - Processing - 26 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 27 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 28 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 6
GetNLRData_Oracle_Details - Processing - 2 out of 6
GetNLRData_Oracle_Details - Processing - 3 out of 6
GetNLRData_Oracle_Details - Processing - 4 out of 6
GetNLRData_Oracle_Details - Processing - 5 out of 6
GetNLRData_Oracle_Details - Processing - 6 out of 6
Get NLR Work Orders - Processing - 29 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 5
GetNLRData_Oracle_Details - Processing - 2 out of 5
GetNLRData_Oracle_Details - Processing - 3 out of 5
GetNLRData_Oracle_Details - Processing - 4 out of 5
GetNLRData_Oracle_Details - Processing - 5 out of 5
Get NLR Work Orders - Processing - 30 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 31 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 32 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 33 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 34 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 5
GetNLRData_Oracle_Details - Processing - 2 out of 5
GetNLRData_Oracle_Details - Processing - 3 out of 5
GetNLRData_Oracle_Details - Processing - 4 out of 5
GetNLRData_Oracle_Details - Processing - 5 out of 5
Get NLR Work Orders - Processing - 35 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 4
GetNLRData_Oracle_Details - Processing - 2 out of 4
GetNLRData_Oracle_Details - Processing - 3 out of 4
GetNLRData_Oracle_Details - Processing - 4 out of 4
Get NLR Work Orders - Processing - 36 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 37 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 38 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 39 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 40 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 41 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 42 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 43 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 44 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 45 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 46 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 5
GetNLRData_Oracle_Details - Processing - 2 out of 5
GetNLRData_Oracle_Details - Processing - 3 out of 5
GetNLRData_Oracle_Details - Processing - 4 out of 5
GetNLRData_Oracle_Details - Processing - 5 out of 5
Get NLR Work Orders - Processing - 47 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 5
GetNLRData_Oracle_Details - Processing - 2 out of 5
GetNLRData_Oracle_Details - Processing - 3 out of 5
GetNLRData_Oracle_Details - Processing - 4 out of 5
GetNLRData_Oracle_Details - Processing - 5 out of 5
Get NLR Work Orders - Processing - 48 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 49 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 50 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 5
GetNLRData_Oracle_Details - Processing - 2 out of 5
GetNLRData_Oracle_Details - Processing - 3 out of 5
GetNLRData_Oracle_Details - Processing - 4 out of 5
GetNLRData_Oracle_Details - Processing - 5 out of 5
Get NLR Work Orders - Processing - 51 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 52 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 53 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 54 out of 89
DynamicsPikeService - UnitTrackMaximo - GetNLRData_Oracle_Details - Started
GetNLRData_Oracle_Details - Processing - 1 out of 3
GetNLRData_Oracle_Details - Processing - 2 out of 3
GetNLRData_Oracle_Details - Processing - 3 out of 3
Get NLR Work Orders - Processing - 55 out of 89
